"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
0615000;"Powiat radzyński";3169,19;3206,39;3243,52;3387,21;3598,62;3787,89;4064,52;4385,35;4775,71;5547,83;6233,24;
0616000;"Powiat rycki";3050,99;3101,76;3207,52;3339,39;3544,04;3754,48;4014,66;4386,95;4786,07;5359,49;5946,05;
0617000;"Powiat świdnicki";3620,47;3847,83;4050,02;4109,67;4312,35;4624,28;4861,68;5074,45;5537,67;6162,15;6954,42;
0618000;"Powiat tomaszowski";2931,59;3034,51;3144,81;3256,18;3405,09;3681,44;3906,06;4337,56;4556,75;5100,78;5859,33;
0619000;"Powiat włodawski";3073,43;3174,79;3267,12;3389,98;3519,39;3658,82;3924,59;4333,34;4724,35;5234,17;6000,38;
0620000;"Powiat zamojski";2870,16;3005,11;3021,19;3243,03;3242,06;3474,14;3671,45;4135,39;4373,85;4926,90;5642,09;
0661000;"Powiat m. Biała Podlaska";3461,96;3539,80;3643,59;3782,03;3763,62;3913,47;4165,17;4504,47;4984,69;5691,80;6400,24;
0662000;"Powiat m. Chełm";3184,22;3259,18;3371,93;3537,53;3689,33;3976,28;4182,86;4581,83;4945,78;5619,61;6349,53;
0663000;"Powiat m. Lublin";3820,91;3955,65;4060,17;4169,46;4431,61;4708,40;5054,93;5412,39;5833,53;6402,56;7443,57;
0664000;"Powiat m. Zamość";3410,42;3511,40;3684,12;3794,50;3954,10;4244,03;4579,40;5013,44;5405,57;5875,74;6679,65;
0801000;"Powiat gorzowski";3524,85;3597,06;3818,44;3882,12;4090,10;4495,22;4730,58;5012,81;5419,18;6162,20;7139,07;
0802000;"Powiat krośnieński";3232,97;3351,05;3503,74;3835,52;3996,47;4255,01;4361,37;4765,10;5127,37;5730,70;6637,01;
0803000;"Powiat międzyrzecki";3216,20;3345,15;3466,06;3583,99;3768,95;4066,99;4263,28;4569,86;5085,53;5695,99;6625,23;
0804000;"Powiat nowosolski";3253,97;3372,90;3507,98;3661,03;3914,15;4174,69;4517,64;4625,15;5132,85;5810,07;6766,75;
0805000;"Powiat słubicki";3282,94;3454,74;3534,54;3683,72;3718,52;4014,73;4278,58;4480,78;4733,20;5920,34;6701,31;
0806000;"Powiat strzelecko-drezdenecki";3261,10;3410,80;3552,74;3689,38;3819,16;4124,64;4328,07;4560,14;5038,23;5727,06;6383,30;
0807000;"Powiat sulęciński";2740,65;2925,57;3019,27;3161,56;3468,90;3829,00;3992,31;4292,99;4685,18;5335,40;6018,27;
0808000;"Powiat świebodziński";3104,58;3308,49;3455,57;3712,08;3968,58;4234,21;4566,65;4659,04;5242,75;6154,27;6975,86;
0809000;"Powiat zielonogórski";3320,76;3408,24;3699,79;3810,06;4067,93;4330,43;4657,96;5037,75;5392,72;6162,35;6866,37;
0810000;"Powiat żagański";3001,13;3125,35;3249,08;3428,40;3587,59;3843,35;4155,89;4484,13;4823,38;5468,20;6259,95;
0811000;"Powiat żarski";3501,25;3596,66;3712,82;3925,75;4067,66;4426,69;4769,05;5047,09;5659,45;6172,02;6929,71;
0812000;"Powiat wschowski";3006,82;3130,04;3233,14;3359,68;3553,21;3866,11;4234,83;4470,96;4866,09;5453,09;6247,33;
0861000;"Powiat m. Gorzów Wielkopolski";3313,03;3432,87;3532,91;3670,29;3934,20;4224,62;4496,08;4788,88;5242,27;5890,85;6713,76;
0862000;"Powiat m. Zielona Góra";3363,53;3578,27;3731,67;3919,96;4173,04;4419,34;4893,47;5212,80;5697,74;6462,80;7487,10;
1001000;"Powiat bełchatowski";5512,35;5578,37;5791,89;5778,97;5926,37;6259,40;6695,94;7002,62;7288,32;8140,22;9268,84;
1002000;"Powiat kutnowski";3265,05;3396,11;3553,67;3685,59;3946,40;4206,84;4448,31;4786,11;5228,84;5800,64;6598,59;
1003000;"Powiat łaski";2749,14;2843,66;2954,03;3041,80;3227,11;3432,41;3798,69;4162,46;4475,37;5241,99;5879,09;
