"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
1214000;"Powiat proszowicki";8;12;15;17;24;17;11;13;16;76;16;
1215000;"Powiat suski";68;22;45;24;36;27;24;28;17;20;26;
1216000;"Powiat tarnowski";0;0;0;0;5;4;12;30;38;32;102;
1217000;"Powiat tatrzański";38;17;103;124;155;277;293;279;433;213;426;
1218000;"Powiat wadowicki";144;117;116;151;127;138;175;244;199;166;280;
1219000;"Powiat wielicki";280;454;323;369;610;551;685;788;1146;986;1261;
1261000;"Powiat m. Kraków";9721;10883;11090;10960;10502;11585;13163;11576;15566;15950;16472;
1262000;"Powiat m. Nowy Sącz";225;291;276;310;234;329;364;397;550;308;431;
1263000;"Powiat m. Tarnów";292;279;282;426;447;537;531;528;561;583;570;
1401000;"Powiat białobrzeski";8;7;12;19;26;16;18;48;17;29;6;
1402000;"Powiat ciechanowski";195;245;253;190;281;281;396;523;386;399;529;
1403000;"Powiat garwoliński";11;6;4;31;10;15;109;246;182;205;403;
1404000;"Powiat gostyniński";34;30;42;57;94;82;86;59;65;45;89;
1405000;"Powiat grodziski";18;54;117;192;211;252;390;807;1007;884;813;
1406000;"Powiat grójecki";0;10;20;133;136;309;171;352;378;617;416;
1407000;"Powiat kozienicki";66;75;102;67;77;121;106;103;98;84;98;
1408000;"Powiat legionowski";270;275;303;407;558;791;943;805;1240;810;1136;
1409000;"Powiat lipski";0;0;0;0;5;17;8;18;15;33;37;
1410000;"Powiat łosicki";44;7;48;37;6;13;82;17;14;45;76;
1411000;"Powiat makowski";0;0;0;0;12;35;59;52;43;32;96;
1412000;"Powiat miński";460;483;416;398;510;795;530;474;798;584;1397;
1413000;"Powiat mławski";223;200;237;213;279;251;351;338;664;336;475;
1414000;"Powiat nowodworski";284;265;416;336;382;329;492;732;616;557;473;
1415000;"Powiat ostrołęcki";3;0;3;0;0;0;0;0;4;12;11;
1416000;"Powiat ostrowski";23;23;66;42;34;53;80;69;103;132;54;
1417000;"Powiat otwocki";179;193;168;217;283;245;305;282;376;343;405;
1418000;"Powiat piaseczyński";1315;810;734;821;555;461;1447;3121;2695;1733;2815;
1419000;"Powiat płocki";35;34;34;54;38;58;44;67;84;61;64;
1420000;"Powiat płoński";120;125;136;147;137;138;113;144;173;91;239;
1421000;"Powiat pruszkowski";537;713;665;866;1477;911;712;1099;1462;1587;2148;
1422000;"Powiat przasnyski";82;65;90;56;128;68;146;140;127;247;195;
1423000;"Powiat przysuski";7;8;8;14;18;21;19;13;21;12;14;
1424000;"Powiat pułtuski";115;78;111;136;124;126;195;89;223;135;200;
1425000;"Powiat radomski";30;34;51;48;99;95;78;53;87;28;67;
1426000;"Powiat siedlecki";16;5;8;7;13;16;12;15;16;7;34;
1427000;"Powiat sierpecki";54;25;51;48;109;204;76;99;75;142;105;
1428000;"Powiat sochaczewski";76;183;108;135;154;162;169;104;235;222;283;
1429000;"Powiat sokołowski";44;91;114;82;167;87;225;83;187;175;96;
1430000;"Powiat szydłowiecki";18;28;18;22;54;42;27;28;27;67;54;
1432000;"Powiat warszawski zachodni";476;491;550;286;474;839;797;708;967;1223;1019;
1433000;"Powiat węgrowski";33;22;27;24;68;9;27;47;48;88;171;
1434000;"Powiat wołomiński";792;623;1132;1535;1531;1279;1732;1896;1944;1417;1447;
1435000;"Powiat wyszkowski";49;53;58;139;128;94;226;99;291;397;175;
1436000;"Powiat zwoleński";10;7;7;4;14;16;15;11;34;10;10;
1437000;"Powiat żuromiński";15;83;29;87;56;36;39;121;45;29;232;
1438000;"Powiat żyrardowski";110;223;164;183;301;212;355;370;405;426;149;
1461000;"Powiat m. Ostrołęka";223;169;137;242;234;183;383;353;243;197;462;
1462000;"Powiat m. Płock";499;589;599;611;851;907;1042;967;1105;888;1154;
1463000;"Powiat m. Radom";417;424;396;535;919;1030;1051;1025;1167;1158;1483;
1464000;"Powiat m. Siedlce";541;458;676;726;694;987;825;820;1035;859;610;
